Камера_ID,Область,Назва камери у системі,Дата встановлення камери,Тип камери за форматом відеосигналу,Тип камери за збереженням інформації,"Час збереження відеоархіву, діб","Час збереження архіву фіксацій, діб",Вид камери за формою та конструкцією,"Функціонал камери/тип ліцензії 
",Об'єкт аналітики,"Додатковий опис функціоналу (заповнюється, якщо відсутній у попередньому)",Виробник камери,Найменування власника,Код ЄДРПОУ,Адреса реєстрації,Контактна особа,Контактний номер телефону у форматі 38(0ХХ)-ХХХ-ХХ-ХХ,Стан камери,Стан інтеграції камери,Системи до яких інтегрована,Інтегрована в Інтеграційну платформу НПУ,Інтегровано в Гарпун,Наявність доступу КА,Координата широти,Координата довготи,Належність до об'єкту,Вид об'єкту,Напрям огляду (азимут),Район,Територіальна громада,КАТОТТГ,Тип населеного пункту,Назва населеного пункту,Тип вулиці,Назва,Номер будинку,Перерестя з,Номер траси,Кілометр
Cамостійно_колонку не чіпаємо,Виставляємо,Прописуємо,Прописуємо,Виставляємо,Виставляємо,"Прописуємо лише число без букв та пробілів
Н-д: 30","Прописуємо лише число без букв та пробілів
Н-д: 365",Виставляємо," Можливість обрання декількох пунктів. Якщо обирається ""оглядова"" - інші не заповнюються, якщо обирається відносно авто - не обирайте інший функціонал або обличчя, те саме відносно інших категорій","Оглядові - без аналітики
Авто - відносно ТЗ
Людина - відносно особи
Інше - інший функціонал
для зручності кольори повинні співпадати з попередньою колонкою ",Прописуємо за необхідністю,"Виставляємо, чогось не вистачає - пишемо мені",Прописуємо,Прописуємо,Прописуємо,За необхідності,За необхідності,Виставляємо,Виставляємо,Обов'язково виставляємо!,Виставляємо,Виставляємо,Обов'язково виставляємо!,Обов'язково виставляємо!,Обов'язково виставляємо!,Обов'язково виставляємо!,Виставляємо,Тільки число: від 0 до 360,Деталізація,Деталізація,Деталізація,Деталізація,Деталізація,Деталізація,Деталізація,Деталізація,Деталізація,Деталізація,Деталізація
1335_001_Світловодськ_Парк,Кіровоградська,Світловодськ_Парк,01.12.2019,Цифрова,З архівом,30,90,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,ГУНП в Кіровоградській області,40108709,"м. Кропивницький, вул. В. Чміленка 41",,,ТИмчасово не працює,Камера інтегрована до системи ,1335_1_001_Безпечна Кіровоградщина,Так,Так,Так,49.058824,33.237673,"Ззовні, на вулиці","Вулиці, дороги, провулки, узвози, проспекти",90,Олександрійський,Світловодська,UA35080170000077673,місто,Світловодськ,вулиця,Паркова,,,,
1335_002_Світловодськ_Вокзал,Кіровоградська,Світловодськ_Вокзал,01.12.2019,Цифрова,З архівом,30,90,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,ГУНП в Кіровоградській області,40108709,"м. Кропивницький, вул. В. Чміленка 41",,,ТИмчасово не працює,Камера інтегрована до системи ,1335_1_001_Безпечна Кіровоградщина,Так,Так,Так,49.046923,33.254437,"Ззовні, на вулиці",Залізничний вокзал,90,Олександрійський,Світловодська,UA35080170000077673,місто,Світловодськ,дорога,,,,,
1335_003_Світловодськ_Дамба,Кіровоградська,Світловодськ_Дамба,01.12.2019,Цифрова,З архівом,30,90,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,ГУНП в Кіровоградській області,40108709,"м. Кропивницький, вул. В. Чміленка 41",,,Прцює,Камера інтегрована до системи ,1335_1_001_Безпечна Кіровоградщина,Так,Так,Так,49.043096,33.126877,"Ззовні, на вулиці",Автодороги (поза межами населенних пунктів),90,Олександрійський,Світловодська,UA35080170000077673,місто,Світловодськ,міст,,,,Р10,
1335_004_Подорожнє_АЗС,Кіровоградська,Подорожнє_АЗС,30.07.2024,Цифрова,З архівом,30,90,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,ГУНП в Кіровоградській області,40108709,"м. Кропивницький, вул. В. Чміленка 41",,,Прцює,Камера інтегрована до системи ,1335_1_001_Безпечна Кіровоградщина,Так,Так,Так,49.045972,33.073817,"Ззовні, на вулиці","Вулиці, дороги, провулки, узвози, проспекти",90,Олександрійський,Великоандрусівська,UA35080010000032386,село,Подорожнє,вулиця,Висікана,,,,
1335_005_Павлиш,Кіровоградська,Павлиш,15.06.2020,Цифрова,З архівом,30,90,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,ГУНП в Кіровоградській області,40108709,"м. Кропивницький, вул. В. Чміленка 41",,,Прцює,Камера інтегрована до системи ,1335_1_001_Безпечна Кіровоградщина,Так,Так,Так,48.921998,33.360698,"Ззовні, на вулиці","Вулиці, дороги, провулки, узвози, проспекти",90,Олександрійський,Онуфріївська,UA35080070000016791,село,Павлиш,дорога,,,,Е584,
1335_006_Онуфріївка_Козацький Шлях,Кіровоградська,Онуфріївка_Козацький Шлях,30.07.2024,Цифрова,З архівом,30,90,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,ГУНП в Кіровоградській області,40108709,"м. Кропивницький, вул. В. Чміленка 41",,,Прцює,Камера інтегрована до системи ,1335_1_001_Безпечна Кіровоградщина,Ні,Так,Так,48.907674,33.458469,"Ззовні, на вулиці","Вулиці, дороги, провулки, узвози, проспекти",180,Олександрійський,Онуфріївська,UA35080070000016791,селище,Онуфріївка,вулиця,Козацький шлях,,,,
1335_007_Безпечна селище Куцеволівка,Кіровоградська,Безпечна селище Куцеволівка,30.07.2024,Цифрова,З архівом,30,30,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,Куцеволівська сільська рада,04366413,"Кіровоградська обл., Олександрійський р-н, с. Куцеволівка, вул. Центральна, буд. 110а",,,Прцює,Камера інтегрована до системи ,1335_5_023_Куцеволівське безпечне селище,Ні,Ні,Так,48.859874,33.841843,"Ззовні, на вулиці","Вулиці, дороги, провулки, узвози, проспекти",90,Олександрійський,Онуфріївська,UA35080070000016791,село,Куцеволівка,дорога,,,,Н08,
1335_008_Безпечне селище Успенка,Кіровоградська,Безпечне селище Успенка,30.07.2024,Цифрова,З архівом,30,30,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,Успенська сільська рада,04366436,"Кіровоградська обл., Олександрійський р-н, с. Успенка, вул. Республіканська, буд. 11",,,Прцює,Камера інтегрована до системи ,1335_5_022_Безпечне селище Успенка,Ні,Ні,Так,48.925785,33.632413,"Ззовні, на вулиці","Вулиці, дороги, провулки, узвози, проспекти",180,Олександрійський,Онуфріївська,UA35080070000016791,село,Успенка,дорога,,,,Н08,
1335_009_Олександрівка,Кіровоградська,Олександрівка,01.12.2019,Цифрова,З архівом,30,90,Циліндричні,З функ. розпіз. номерних знаків ТЗ,Відносно ТЗ,,Hikvision,ГУНП в Кіровоградській області,40108709,"м. Кропивницький, вул. В. Чміленка 41",,,ТИмчасово не працює,Камера інтегрована до системи ,1335_1_001_Безпечна Кіровоградщина,Так,Так,Так,48.980923,32.251523,"Ззовні, на вулиці",Автодороги (поза межами населенних пунктів),180,Кропивницький,Олександрівська,UA35040250000048915,селище,Олександрівка,шосе,,,,Н01,
