1_id_Область,1_Область,2_id_Район,2_Район,3_id_Громада,3_Територіальна громада
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020010000048857,Андріївська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020030000085835,Ароматненська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020050000056842,Бахчисарайська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020070000057731,Верхньосадівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020090000085519,Верхоріченська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020110000025392,Вілінська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020130000011846,Голубинська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020150000013553,Долинненська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020170000026113,Залізничненська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020190000077808,Зеленівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020210000031011,Інкерманська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020230000086125,Качинська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020250000083187,Каштанівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020270000095791,Красномацька
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020290000023695,Куйбишевська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020310000028500,Орлинівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020330000026857,Піщанівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020350000012924,Плодівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020370000098913,Поштівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020390000023946,Скалистівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020410000012183,Табачненська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020430000077222,Тернівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020450000039196,Тінистівська
UA01000000000013043,Автономна Республіка Крим,UA01020000000022387,Бахчисарайський,UA01020470000045027,Углівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040010000012643,Ароматнівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040030000094499,Багатівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040050000043618,Білогірська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040070000067477,Василівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040090000079381,Вишенська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040110000030475,Дрофинська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040130000027316,Желябовська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040150000027533,Жемчужинська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040170000015760,Зеленогірська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040190000020544,Земляничненська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040210000036434,Зибинська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040230000046436,Зоркінська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040250000021026,Зуйська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040270000034439,Іванівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040290000025831,Ізобільненська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040310000067033,Кісточківська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040330000019963,Кримськорозівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040350000026880,Криничненська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040370000093220,Курська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040390000094458,Листвинська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040410000039649,Мельнична
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040430000084830,Митрофанівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040450000033279,Михайлівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040470000054380,Мічурінська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040490000050783,Муромська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040510000040948,Нижньогірська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040530000066139,Новогригорівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040550000033125,Новожилівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040570000042023,Омелянівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040590000047581,Охотська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040610000061821,Пшеничненська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040630000018582,Русаківська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040650000030704,Садова
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040670000061265,Уварівська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040690000074143,Цвіточненська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040710000052728,Чкаловська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040730000084787,Чорнопільська
UA01000000000013043,Автономна Республіка Крим,UA01040000000069938,Білогірський,UA01040750000059611,Якимівська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060010000036566,Азовська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060030000038531,Вільненська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060050000010421,Джанкойська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060070000050618,Єрмаківська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060090000040099,Завіто-Ленінська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060110000056995,Зарічненська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060130000083087,Ізумруднівська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060150000096126,Кіндратівська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060170000087883,Кримківська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060190000037533,Лобанівська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060210000015881,Луганська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060230000090283,Майська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060250000010093,Маслівська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060270000057570,Медведівська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060290000012729,Мирнівська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060310000070223,Новокримська
UA01000000000013043,Автономна Республіка Крим,UA01060000000028159,Джанкойський,UA01060330000093805,Пахарівська
